fold,cls,tt,clst,cand,no_ctrd,sigma,weight,beta_a ,beta_b,beta_a_bias,beta_b_bias,beta_a_var,beta_b_var,p_val_tr,y_min,y_max
3,0,0,1,2,2,0.364680,1.121898,0.688575,2.262905,0.008496,0.041725,0.006947,0.119336,0.000004,0.003546,0.768511
3,0,0,1,3,2,0.729360,0.002191,2.732233,2.882498,0.024057,0.024118,0.090482,0.092454,0.675521,0.000620,0.003290
3,0,0,1,4,2,1.458720,0.000004,3.992581,2.373141,0.055539,0.027286,0.279816,0.074761,0.162633,0.000005,0.000008
3,0,0,2,0,3,0.085793,338859.495305,0.022619,7.709696,0.017516,6.669764,0.000352,51.390992,0.000000,0.000000,98.875228
3,0,0,2,1,3,0.171585,661.834952,0.127963,2.788288,0.008789,0.269484,0.000986,0.739637,0.000000,0.000000,87.037091
3,0,0,2,2,3,0.343171,1.292646,0.885458,2.592049,0.007828,0.030560,0.009638,0.104312,0.596498,0.006720,1.019236
3,0,0,2,3,3,0.686341,0.002525,2.433821,2.735973,0.020003,0.021981,0.068992,0.082886,0.788379,0.001157,0.005125
3,0,0,2,4,3,1.372682,0.000005,3.627510,2.349866,0.042230,0.022954,0.199352,0.065706,0.611470,0.000008,0.000013
3,0,0,3,0,4,0.101645,55253.204614,0.002409,0.238905,0.000141,0.050034,0.000002,0.022729,0.000000,0.000000,29.050959
3,0,0,3,1,4,0.203290,107.916415,0.074526,1.766903,0.007922,0.290539,0.000488,0.538599,0.000000,0.000000,17.228912
3,0,0,3,2,4,0.406580,0.210774,0.976457,3.295349,0.015976,0.068986,0.017344,0.268202,0.907373,0.001924,0.237029
3,0,0,3,3,4,0.813160,0.000412,2.457533,2.651457,0.020462,0.021698,0.071129,0.079804,0.709400,0.000271,0.001115
3,0,0,3,4,4,1.626320,0.000001,3.479742,2.288815,0.039467,0.021634,0.180733,0.061009,0.524423,0.000002,0.000003
3,0,0,4,0,5,0.099885,51726.237498,0.022888,11.654296,0.019738,10.862960,0.000416,126.231401,0.000000,0.000000,109.730999
3,0,0,4,1,5,0.199770,101.027808,0.199863,3.770147,0.016160,0.393138,0.002827,1.472212,0.000000,0.000001,21.681987
3,0,0,4,2,5,0.399541,0.197320,1.155203,2.653901,0.010528,0.030784,0.016619,0.110200,0.727958,0.004448,0.196830
3,0,0,4,3,5,0.799082,0.000385,2.093099,2.456426,0.016041,0.019055,0.049804,0.068015,0.379359,0.000375,0.001173
3,0,0,4,4,5,1.598163,0.000001,2.883158,2.204047,0.026076,0.017169,0.105628,0.051277,0.305451,0.000002,0.000003
3,1,0,0,0,1,0.047936,191538448.549777,0.026231,0.378516,-0.000070,0.004080,0.000011,0.002507,0.000000,0.000000,19010997.199920
3,1,0,0,1,1,0.095871,374098.532324,0.198106,0.901000,0.000791,0.008489,0.000403,0.012979,0.000000,0.000000,209977.730533
3,1,0,0,2,1,0.191743,730.661196,1.063308,1.123619,0.003563,0.003615,0.008381,0.008865,0.001249,0.000000,632.430566
3,1,0,0,3,1,0.383486,1.427073,1.644610,0.498046,0.024757,0.004335,0.054593,0.002398,0.000000,0.001423,1.376481
3,1,0,0,4,1,0.766972,0.002787,1.682383,0.203935,0.053410,0.003624,0.102517,0.000604,0.000000,0.000495,0.002762
3,1,0,1,0,2,0.084064,610475.597806,0.010760,0.145291,-0.000114,0.002740,0.000004,0.001316,0.000000,0.000000,256000.157485
3,1,0,1,1,2,0.168128,1192.335152,0.184796,0.869275,0.001002,0.010450,0.000417,0.015092,0.000000,0.000000,959.491939
3,1,0,1,2,2,0.336256,2.328780,1.264225,1.296544,0.003967,0.004620,0.010055,0.011897,0.000147,0.000903,2.222599
3,1,0,1,3,2,0.672512,0.004548,3.123232,0.808013,0.047330,0.008827,0.175427,0.007269,0.000026,0.000962,0.005883
3,1,0,1,4,2,1.345025,0.000009,2.753809,0.527562,0.080539,0.010423,0.251350,0.004612,0.000000,0.000009,0.000016
3,1,0,2,0,3,0.084064,406983.731871,0.357845,2.387755,0.003853,0.034357,0.001839,0.099685,0.000000,0.000000,338569.044832
3,1,0,2,1,3,0.168128,794.890101,0.908323,0.994130,0.002442,0.000881,0.006273,0.003777,0.000005,0.000026,762.042480
3,1,0,2,2,3,0.336256,1.552520,1.893436,1.038097,0.013613,0.004971,0.038774,0.007292,0.000439,0.028287,2.472064
3,1,0,2,3,3,0.672512,0.003032,2.181508,0.630534,0.031282,0.005910,0.086699,0.004040,0.000000,0.001810,0.006746
3,1,0,2,4,3,1.345025,0.000006,2.723135,0.460969,0.078663,0.008955,0.240888,0.003491,0.000000,0.000009,0.000016
3,1,0,3,0,4,0.079570,500500.429467,0.356154,2.126021,0.002817,0.023425,0.001497,0.063319,0.000000,0.000000,432439.824896
3,1,0,3,1,4,0.159139,977.539901,0.995161,0.889586,0.003316,0.001166,0.008098,0.003401,0.000027,0.000029,996.663711
3,1,0,3,2,4,0.318279,1.909258,2.038046,1.038978,0.016417,0.005571,0.048197,0.007600,0.000006,0.039671,4.217718
3,1,0,3,3,4,0.636557,0.003729,2.308418,0.594881,0.042727,0.007274,0.120638,0.004287,0.000000,0.002874,0.011602
3,1,0,3,4,4,1.273114,0.000007,2.578956,0.388240,0.081725,0.008098,0.235096,0.002578,0.000000,0.000016,0.000027
3,1,0,4,0,5,0.079570,400400.343574,0.379249,1.851398,0.001937,0.014058,0.001308,0.036043,0.000000,0.000000,327577.394891
3,1,0,4,1,5,0.159139,782.031921,1.062992,0.862048,0.004016,0.001704,0.009621,0.003890,0.000874,0.000004,968.276666
3,1,0,4,2,5,0.318279,1.527406,2.018284,0.974614,0.018252,0.005775,0.052233,0.007124,0.000012,0.028645,4.403760
3,1,0,4,3,5,0.636557,0.002983,2.320785,0.547950,0.047076,0.007288,0.131383,0.003809,0.000000,0.002600,0.011875
